# The Parity Ledger (§16.1).
#
# GENERATED from API_SCHEMA.tsv + API_OVERLAY.tsv by
# fmn_conformance::schema — regenerate, never hand-edit.
# Reference pin: 6199a00d4c1b1127ebe45cb629c3f22538b10e13
#
# Regenerate:  UPDATE_API_ARTIFACTS=1 cargo test -p fmn-conformance \
#                  --test api_schema
#
# module	symbol	canonical	kind	exported	signature_defaults	status	evidence	tests	notes
fmn.cli	batch	batch	cli_command	0	-	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Render a bounded multi-scene farm under asupersync
fmn.cli.global	--log-level	log_level	cli_flag	0	action=store;nargs=-;type=-;default=-	same	-	crates/fmn-cli/src/lib.rs#tests	stable log-level vocabulary
fmn.cli.global	--reproducible	reproducible	cli_flag	0	action=store_true;nargs=-;type=-;default=False	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Select certified CPU rendering and canonical certified artifacts
fmn.cli.global	--robot	robot	cli_flag	0	action=store_true;nargs=-;type=-;default=False	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Emit only schema-versioned NDJSON records
fmn.cli.global	--threads	threads	cli_flag	0	action=store;nargs=-;type=usize;default=-	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Bound render-team CPU threads
fmn.cli.global	-h,--help	help	cli_flag	0	action=store_true;nargs=-;type=-;default=False	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Show command help and exit
fmn.cli.global	-q,--quiet	quiet	cli_flag	0	action=store_true;nargs=-;type=-;default=False	same	-	crates/fmn-cli/src/lib.rs#tests	suppress human decoration only
fmn.cli.global	-v,--version	version	cli_flag	0	action=store_true;nargs=-;type=-;default=False	same	-	crates/fmn-cli/src/lib.rs#tests	stable version report
fmn.cli.render	--autoreload	autoreload	cli_flag	0	action=store_true;nargs=-;type=-;default=False	tiered	OOT-CLI-AUTORELOAD	crates/fmn-cli/src/lib.rs#tests	re-specified as supervised Studio worker reload
fmn.cli.render	--engine	engine	cli_flag	0	action=store;nargs=-;type=engine;default=-	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Select the CPU engine or a standard-only accelerator annex
fmn.cli.render	--file_name	file_name	cli_flag	0	action=store;nargs=-;type=-;default=-	same	-	crates/fmn-cli/src/lib.rs#tests	explicit output stem
fmn.cli.render	--finder	finder	cli_flag	0	action=store_true;nargs=-;type=-;default=False	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	portable reveal-in-file-manager action
fmn.cli.render	--format	format	cli_flag	0	action=store;nargs=-;type=output_format;default=auto	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Select auto, png, png_sequence, gif, y4m, wav, svg, or video output; wav refuses scenes without add_sound cues
fmn.cli.render	--fps	fps	cli_flag	0	action=store;nargs=-;type=int;default=-	same	-	crates/fmn-cli/src/lib.rs#tests	positive integer frame rate
fmn.cli.render	--hd	hd	cli_flag	0	action=store_true;nargs=-;type=-;default=False	same	-	crates/fmn-cli/src/lib.rs#tests	1080p resolution preset
fmn.cli.render	--leave_progress_bars	leave_progress_bars	cli_flag	0	action=store_true;nargs=-;type=-;default=False	same	-	crates/fmn-cli/src/lib.rs#tests	human progress policy
fmn.cli.render	--math-pack	math_pack	cli_flag	0	action=store;nargs=-;type=pack;default=default	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Select an fmd-math preamble pack
fmn.cli.render	--pix_fmt	pix_fmt	cli_flag	0	action=store;nargs=-;type=-;default=-	same	-	crates/fmn-cli/src/lib.rs#tests	explicit ffmpeg wire pixel format
fmn.cli.render	--prerun	prerun	cli_flag	0	action=store_true;nargs=-;type=-;default=False	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	deterministic count-only scene pass
fmn.cli.render	--show_animation_progress	show_animation_progress	cli_flag	0	action=store_true;nargs=-;type=-;default=False	same	-	crates/fmn-cli/src/lib.rs#tests	per-animation human progress
fmn.cli.render	--subdivide	subdivide	cli_flag	0	action=store_true;nargs=-;type=-;default=False	same	-	crates/fmn-cli/src/lib.rs#tests	one output per animation segment
fmn.cli.render	--uhd	uhd	cli_flag	0	action=store_true;nargs=-;type=-;default=False	same	-	crates/fmn-cli/src/lib.rs#tests	2160p resolution preset
fmn.cli.render	--vcodec	vcodec	cli_flag	0	action=store;nargs=-;type=-;default=-	same	-	crates/fmn-cli/src/lib.rs#tests	explicit ffmpeg encoder
fmn.cli.render	--video_dir	video_dir	cli_flag	0	action=store;nargs=-;type=-;default=-	same	-	crates/fmn-cli/src/lib.rs#tests	explicit output directory
fmn.cli.render	-a,--write_all	write_all	cli_flag	0	action=store_true;nargs=-;type=-;default=False	same	-	crates/fmn-cli/src/lib.rs#tests	select every scene in declaration order
fmn.cli.render	-c,--color	background	cli_flag	0	action=store;nargs=-;type=-;default=-	same	-	crates/fmn-cli/src/lib.rs#tests	explicit background color
fmn.cli.render	-e,--embed	embed	cli_flag	0	action=store;nargs=-;type=-;default=-	tiered	OOT-CLI-EMBED	crates/fmn-cli/src/lib.rs#tests	Python front door or Studio breakpoint only
fmn.cli.render	-f,--full_screen	full_screen	cli_flag	0	action=store_true;nargs=-;type=-;default=False	same	-	crates/fmn-cli/src/lib.rs#tests	fullscreen interactive presentation
fmn.cli.render	-i,--gif	gif	cli_flag	0	action=store_true;nargs=-;type=-;default=False	same	-	crates/fmn-cli/src/lib.rs#tests	native GIF output
fmn.cli.render	-l,--low_quality	low_quality	cli_flag	0	action=store_true;nargs=-;type=-;default=False	same	-	crates/fmn-cli/src/lib.rs#tests	480p resolution preset
fmn.cli.render	-m,--medium_quality	medium_quality	cli_flag	0	action=store_true;nargs=-;type=-;default=False	same	-	crates/fmn-cli/src/lib.rs#tests	720p resolution preset
fmn.cli.render	-n,--start_at_animation_number	animation_range	cli_flag	0	action=store;nargs=-;type=-;default=-	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	validated start or half-open start,end play range
fmn.cli.render	-o,--open	open	cli_flag	0	action=store_true;nargs=-;type=-;default=False	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	portable host open action
fmn.cli.render	-p,--presenter_mode	presenter_mode	cli_flag	0	action=store_true;nargs=-;type=-;default=False	same	-	crates/fmn-cli/src/lib.rs#tests	presenter-controlled waits
fmn.cli.render	-r,--resolution	resolution	cli_flag	0	action=store;nargs=-;type=-;default=-	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	validated WIDTHxHEIGHT override
fmn.cli.render	-s,--skip_animations	skip_animations	cli_flag	0	action=store_true;nargs=-;type=-;default=False	same	-	crates/fmn-cli/src/lib.rs#tests	capture the final state
fmn.cli.render	-t,--transparent	transparent	cli_flag	0	action=store_true;nargs=-;type=-;default=False	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	alpha-capable output negotiation
fmn.cli.render	-w,--write_file	write_file	cli_flag	0	action=store_true;nargs=-;type=-;default=False	same	-	crates/fmn-cli/src/lib.rs#tests	durable output instead of preview-only
fmn.cli.render	file	file	cli_flag	0	action=store;nargs='?';type=-;default=-	same	-	crates/fmn-cli/src/lib.rs#tests	scene source path
fmn.cli.render	scene_names	scene_names	cli_flag	0	action=store;nargs='*';type=-;default=-	same	-	crates/fmn-cli/src/lib.rs#tests	explicit scene-name selection
fmn.cli.studio	--bind	bind	cli_flag	0	action=store;nargs=-;type=ip;default=127.0.0.1	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Loopback address for the Studio host
fmn.cli.studio	--checkpoint-frames	checkpoint_frames	cli_flag	0	action=store;nargs=-;type=u64;default=120	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Maximum frames between replay checkpoints
fmn.cli.studio	--no-browser	no_browser	cli_flag	0	action=store_true;nargs=-;type=-;default=False	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Do not launch the host browser
fmn.cli.studio	--port	port	cli_flag	0	action=store;nargs=-;type=u16;default=0	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Studio TCP port, with zero selecting an ephemeral port
fmn.cli.studio	--preview-codec	preview_codec	cli_flag	0	action=store;nargs=-;type=preview_codec;default=png	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Select permanent multipart PNG or optional MJPEG preview
fmn.cli.studio	--tui	tui	cli_flag	0	action=store_true;nargs=-;type=-;default=False	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Attach the kitty or sixel terminal client
fmn.config	camera	camera	config_key	0	kind=map;default=-	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the camera configuration namespace mapping resolution, fps, and background properties
fmn.config	camera.background_color	camera.background_color	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the camera background color string hex representation
fmn.config	camera.background_opacity	camera.background_opacity	config_key	0	kind=float;default=1.0	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the camera background opacity float value
fmn.config	camera.fps	camera.fps	config_key	0	kind=int;default=30	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the nominal camera frame rate integer
fmn.config	camera.resolution	camera.resolution	config_key	0	kind=tuple;default=(1920, 1080)	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the camera pixel resolution (width, height) tuple
fmn.config	colors	colors	config_key	0	kind=map;default=-	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named color palette map
fmn.config	colors.black	colors.black	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for black
fmn.config	colors.blue_a	colors.blue_a	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for blue_a
fmn.config	colors.blue_b	colors.blue_b	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for blue_b
fmn.config	colors.blue_c	colors.blue_c	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for blue_c
fmn.config	colors.blue_d	colors.blue_d	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for blue_d
fmn.config	colors.blue_e	colors.blue_e	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for blue_e
fmn.config	colors.dark_brown	colors.dark_brown	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for dark_brown
fmn.config	colors.gold_a	colors.gold_a	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for gold_a
fmn.config	colors.gold_b	colors.gold_b	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for gold_b
fmn.config	colors.gold_c	colors.gold_c	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for gold_c
fmn.config	colors.gold_d	colors.gold_d	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for gold_d
fmn.config	colors.gold_e	colors.gold_e	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for gold_e
fmn.config	colors.green_a	colors.green_a	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for green_a
fmn.config	colors.green_b	colors.green_b	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for green_b
fmn.config	colors.green_c	colors.green_c	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for green_c
fmn.config	colors.green_d	colors.green_d	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for green_d
fmn.config	colors.green_e	colors.green_e	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for green_e
fmn.config	colors.green_screen	colors.green_screen	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for green_screen
fmn.config	colors.grey_a	colors.grey_a	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for grey_a
fmn.config	colors.grey_b	colors.grey_b	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for grey_b
fmn.config	colors.grey_brown	colors.grey_brown	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for grey_brown
fmn.config	colors.grey_c	colors.grey_c	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for grey_c
fmn.config	colors.grey_d	colors.grey_d	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for grey_d
fmn.config	colors.grey_e	colors.grey_e	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for grey_e
fmn.config	colors.light_brown	colors.light_brown	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for light_brown
fmn.config	colors.light_pink	colors.light_pink	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for light_pink
fmn.config	colors.maroon_a	colors.maroon_a	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for maroon_a
fmn.config	colors.maroon_b	colors.maroon_b	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for maroon_b
fmn.config	colors.maroon_c	colors.maroon_c	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for maroon_c
fmn.config	colors.maroon_d	colors.maroon_d	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for maroon_d
fmn.config	colors.maroon_e	colors.maroon_e	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for maroon_e
fmn.config	colors.orange	colors.orange	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for orange
fmn.config	colors.pink	colors.pink	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for pink
fmn.config	colors.pure_blue	colors.pure_blue	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for pure_blue
fmn.config	colors.pure_green	colors.pure_green	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for pure_green
fmn.config	colors.pure_red	colors.pure_red	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for pure_red
fmn.config	colors.purple_a	colors.purple_a	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for purple_a
fmn.config	colors.purple_b	colors.purple_b	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for purple_b
fmn.config	colors.purple_c	colors.purple_c	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for purple_c
fmn.config	colors.purple_d	colors.purple_d	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for purple_d
fmn.config	colors.purple_e	colors.purple_e	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for purple_e
fmn.config	colors.red_a	colors.red_a	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for red_a
fmn.config	colors.red_b	colors.red_b	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for red_b
fmn.config	colors.red_c	colors.red_c	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for red_c
fmn.config	colors.red_d	colors.red_d	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for red_d
fmn.config	colors.red_e	colors.red_e	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for red_e
fmn.config	colors.teal_a	colors.teal_a	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for teal_a
fmn.config	colors.teal_b	colors.teal_b	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for teal_b
fmn.config	colors.teal_c	colors.teal_c	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for teal_c
fmn.config	colors.teal_d	colors.teal_d	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for teal_d
fmn.config	colors.teal_e	colors.teal_e	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for teal_e
fmn.config	colors.white	colors.white	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for white
fmn.config	colors.yellow_a	colors.yellow_a	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for yellow_a
fmn.config	colors.yellow_b	colors.yellow_b	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for yellow_b
fmn.config	colors.yellow_c	colors.yellow_c	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for yellow_c
fmn.config	colors.yellow_d	colors.yellow_d	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for yellow_d
fmn.config	colors.yellow_e	colors.yellow_e	config_key	0	kind=string;default="	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for yellow_e
fmn.config	determinism	determinism	config_key	0	kind=map;default=-	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the determinism configuration namespace
fmn.config	determinism.mode	determinism.mode	config_key	0	kind=string;default="standard"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the engine determinism mode (standard or certified)
fmn.config	determinism.seed	determinism.seed	config_key	0	kind=int;default=0	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the global base seed for deterministic pseudorandom generation
fmn.config	directories	directories	config_key	0	kind=map;default=-	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the file and asset directories configuration namespace
fmn.config	directories.base	directories.base	config_key	0	kind=string;default=""	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the base assets directory path
fmn.config	directories.cache	directories.cache	config_key	0	kind=string;default=""	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the directory path for cache artifacts
fmn.config	directories.mirror_module_path	directories.mirror_module_path	config_key	0	kind=bool;default=False	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	controls whether output paths mirror python module hierarchy
fmn.config	directories.removed_mirror_prefix	directories.removed_mirror_prefix	config_key	0	kind=string;default=-	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	specifies directory prefix to strip when mirroring module paths
fmn.config	directories.subdirs	directories.subdirs	config_key	0	kind=map;default=-	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the map of output subdirectory names for assets and renders
fmn.config	directories.subdirs.data	directories.subdirs.data	config_key	0	kind=string;default="data"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for data
fmn.config	directories.subdirs.downloads	directories.subdirs.downloads	config_key	0	kind=string;default="downloads"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for downloads
fmn.config	directories.subdirs.latex_cache	directories.subdirs.latex_cache	config_key	0	kind=string;default="latex_cache"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for latex_cache
fmn.config	directories.subdirs.output	directories.subdirs.output	config_key	0	kind=string;default="videos"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for output
fmn.config	directories.subdirs.raster_images	directories.subdirs.raster_images	config_key	0	kind=string;default="raster_images"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for raster_images
fmn.config	directories.subdirs.sounds	directories.subdirs.sounds	config_key	0	kind=string;default="sounds"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for sounds
fmn.config	directories.subdirs.three_d_models	directories.subdirs.three_d_models	config_key	0	kind=string;default="three_d_models"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for three_d_models
fmn.config	directories.subdirs.vector_images	directories.subdirs.vector_images	config_key	0	kind=string;default="vector_images"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for vector_images
fmn.config	embed	embed	config_key	0	kind=map;default=-	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the interactive embedding configuration namespace
fmn.config	embed.autoreload	embed.autoreload	config_key	0	kind=bool;default=False	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	controls scene autoreload behavior on file modification
fmn.config	embed.exception_mode	embed.exception_mode	config_key	0	kind=string;default="Verbose"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	specifies exception verbosity mode during interactive embed
fmn.config	file_writer	file_writer	config_key	0	kind=map;default=-	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the video and frame output configuration namespace
fmn.config	file_writer.ffmpeg_bin	file_writer.ffmpeg_bin	config_key	0	kind=string;default="ffmpeg"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the ffmpeg binary executable name or path
fmn.config	file_writer.gamma	file_writer.gamma	config_key	0	kind=float;default=1.0	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the display gamma correction factor
fmn.config	file_writer.pixel_format	file_writer.pixel_format	config_key	0	kind=string;default="yuv420p"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output video pixel format string
fmn.config	file_writer.saturation	file_writer.saturation	config_key	0	kind=float;default=1.0	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the color saturation adjustment factor
fmn.config	file_writer.video_codec	file_writer.video_codec	config_key	0	kind=string;default="libx264"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the video compression codec name
fmn.config	ignore_manimlib_modules_on_reload	ignore_manimlib_modules_on_reload	config_key	0	kind=bool;default=True	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	controls whether manimlib internal modules are skipped during reload
fmn.config	key_bindings	key_bindings	config_key	0	kind=map;default=-	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the interactive scene key binding configuration namespace
fmn.config	key_bindings.color	key_bindings.color	config_key	0	kind=string;default="c"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive color action
fmn.config	key_bindings.cursor	key_bindings.cursor	config_key	0	kind=string;default="k"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive cursor action
fmn.config	key_bindings.grab	key_bindings.grab	config_key	0	kind=string;default="g"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive grab action
fmn.config	key_bindings.information	key_bindings.information	config_key	0	kind=string;default="i"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive information action
fmn.config	key_bindings.pan	key_bindings.pan	config_key	0	kind=string;default="f"	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive pan action
